feature,importance
v_dpc_CK,0.21190916
v_dpc_AH,0.11914757
v_dpc_HC,0.048298944
v_dpc_EW,0.044710115
v_dpc_DS,0.014797284
v_dpc_MH,0.014383116
v_dpc_VV,0.014164062
v_dpc_KG,0.011598422
v_dpc_FR,0.008639375
v_dpc_GD,0.0065026185
v_dpc_LQ,0.005917079
v_dpc_DM,0.0029774918
h_hydro,0.0028913098
v_aac_G,0.0023252426
h_aac_C,0.0023053363
v_dpc_LH,0.0019020311
v_dpc_ET,0.0018975524
h_arom,0.0017932687
v_dpc_EF,0.0017788291
v_dpc_VM,0.0016379223
h_aac_K,0.0015404908
h_dpc_WC,0.0015163642
v_dpc_CD,0.0015016093
v_dpc_VL,0.0014524047
h_aac_S,0.0014467421
h_aac_V,0.0013719221
v_dpc_AP,0.0013355697
v_dpc_QN,0.0013327306
h_dpc_WW,0.0013096922
h_aac_L,0.0013060723
v_dpc_QY,0.0012789405
v_aac_M,0.0012727361
v_dpc_EM,0.0012420369
h_dpc_LQ,0.0012349272
h_dpc_KN,0.0012048917
h_dpc_SP,0.0011996219
h_dpc_TY,0.0011913588
h_dpc_RG,0.0011748499
h_dpc_LL,0.0011288355
v_dpc_PQ,0.0011266817
h_dpc_AK,0.001115689
h_dpc_FF,0.0011156739
v_aac_A,0.0011051655
h_dpc_SC,0.0010932393
h_mw,0.001091843
h_dpc_IF,0.0010581029
h_dpc_KK,0.0010537915
h_len,0.0010507072
h_dpc_IV,0.0010364718
h_aac_P,0.0010350551
h_dpc_NG,0.0010349469
h_dpc_WL,0.0010326176
v_dpc_VD,0.0010237169
h_dpc_VW,0.0010163281
h_dpc_NW,0.001005131
h_dpc_WM,0.001003234
v_dpc_KQ,0.0010031479
h_dpc_VF,0.0010009622
h_dpc_LH,0.0009981664
v_dpc_AW,0.00099256
v_dpc_LF,0.0009915543
h_dpc_YD,0.0009893881
h_aac_W,0.0009879305
h_dpc_WD,0.0009851088
v_dpc_MI,0.0009830268
h_dpc_DW,0.0009823245
v_dpc_HI,0.0009799954
h_dpc_DY,0.0009780356
v_dpc_QV,0.00097588013
h_dpc_FV,0.0009728285
h_dpc_FM,0.000961343
h_dpc_QL,0.0009589574
v_dpc_LA,0.0009480425
h_dpc_LW,0.0009473176
h_dpc_YI,0.00094488845
h_dpc_AA,0.0009385247
h_dpc_VT,0.00093528006
v_dpc_LI,0.0009307687
h_aac_Q,0.0009279835
v_dpc_NG,0.00092781865
h_dpc_GK,0.00092231925
h_dpc_HL,0.0009143774
h_dpc_YF,0.0009138205
h_dpc_RA,0.0009121968
h_dpc_VG,0.00090587116
h_dpc_YW,0.00090503553
h_dpc_IM,0.0009049453
h_dpc_GR,0.00090122607
h_dpc_FT,0.00089901517
v_dpc_IF,0.00089887646
h_dpc_YG,0.00089884753
v_dpc_VG,0.0008941371
h_dpc_GC,0.00088323985
h_dpc_KD,0.0008815631
h_aac_H,0.0008789175
h_dpc_QC,0.00087748485
v_dpc_FL,0.000876981
h_dpc_LV,0.00087333814
h_dpc_FP,0.0008707257
h_dpc_IW,0.0008699112
h_dpc_YY,0.0008694717
v_dpc_DT,0.00086651806
h_dpc_FG,0.00086647295
h_dpc_FL,0.0008656289
h_dpc_NN,0.0008648447
v_dpc_FP,0.0008647613
h_dpc_LE,0.0008636724
h_dpc_SS,0.0008591111
h_dpc_KV,0.0008589003
h_dpc_GD,0.00085791654
h_dpc_KW,0.000855166
v_dpc_NN,0.0008543471
h_dpc_SM,0.0008508936
v_dpc_YN,0.0008467145
h_dpc_KR,0.00084617984
v_dpc_QI,0.0008460713
h_dpc_VE,0.0008452052
h_dpc_MS,0.0008441065
h_dpc_RK,0.00084291445
v_dpc_IW,0.00084107404
h_dpc_MF,0.0008386445
h_dpc_WG,0.00083747256
h_dpc_IA,0.00083661155
h_dpc_WF,0.00083504274
h_dpc_SQ,0.0008335091
h_dpc_DM,0.00083234103
h_dpc_LR,0.0008317407
h_dpc_QN,0.0008311031
h_dpc_RH,0.0008305519
h_dpc_LF,0.0008280329
h_dpc_YP,0.0008264638
v_dpc_RM,0.0008253758
h_dpc_KH,0.0008246753
h_dpc_GW,0.00082417665
h_dpc_CP,0.00082076574
h_dpc_VD,0.0008190809
h_dpc_FA,0.00081905787
h_dpc_RY,0.0008178146
v_dpc_QD,0.00081725436
h_dpc_NK,0.00081703597
h_dpc_SW,0.0008161802
h_aac_Y,0.00081546407
h_dpc_IG,0.0008092011
h_dpc_WY,0.0008090575
h_dpc_HE,0.00080879754
h_dpc_KC,0.00080743636
h_dpc_YK,0.0008072923
h_dpc_FC,0.000806067
h_dpc_MW,0.0008055616
v_aac_L,0.00080544874
h_dpc_KG,0.00080533413
h_dpc_PL,0.00080526725
h_dpc_TC,0.00080469757
h_dpc_WA,0.0008037909
h_dpc_HK,0.00080111634
v_dpc_ER,0.0007991517
h_dpc_TT,0.0007978597
h_dpc_QA,0.000797496
h_dpc_RF,0.0007964238
h_dpc_FQ,0.0007922989
v_dpc_GP,0.0007922388
h_dpc_SV,0.00079132663
h_dpc_MD,0.00079062104
h_dpc_CQ,0.0007882033
h_dpc_QW,0.00078624225
h_dpc_NM,0.0007859656
h_dpc_SL,0.0007858765
h_dpc_WI,0.0007844865
h_dpc_LP,0.0007844211
h_dpc_PW,0.00078380026
h_dpc_CN,0.0007833747
h_dpc_KF,0.0007830919
h_dpc_EW,0.0007826306
h_dpc_ME,0.00078206894
h_dpc_GN,0.0007802554
h_dpc_WQ,0.0007802339
h_dpc_TK,0.00077882333
h_dpc_HS,0.0007759991
h_dpc_MP,0.00077597843
h_dpc_ST,0.0007741876
h_dpc_SE,0.00077213533
h_dpc_HC,0.0007713893
h_dpc_CY,0.00077115523
h_dpc_YR,0.0007703661
h_dpc_QM,0.0007693042
h_dpc_VM,0.0007686215
h_dpc_CS,0.00076852035
h_dpc_WE,0.00076765043
h_dpc_EH,0.0007663469
h_dpc_NP,0.0007661452
h_dpc_VV,0.0007651858
h_dpc_KP,0.00076232967
h_dpc_WR,0.0007621045
h_dpc_HP,0.0007619108
h_dpc_AV,0.0007607731
h_dpc_II,0.00076071563
h_dpc_IL,0.0007592081
h_dpc_CV,0.0007586301
h_dpc_EE,0.0007571084
h_dpc_LK,0.00075705367
h_aac_G,0.0007565659
h_dpc_VK,0.00075595325
h_dpc_MN,0.0007542743
h_dpc_GG,0.00075367454
h_dpc_DQ,0.0007529612
h_dpc_WT,0.0007520603
h_dpc_PE,0.00075173186
v_dpc_MT,0.00075145287
h_dpc_PG,0.0007499332
h_dpc_IY,0.00074887846
h_dpc_KL,0.0007482857
h_dpc_NE,0.00074770005
h_dpc_KE,0.0007464076
h_dpc_HD,0.00074472715
h_dpc_DR,0.000744444
h_dpc_MK,0.00074433506
h_dpc_TM,0.00074372045
h_dpc_AE,0.0007434678
h_dpc_GY,0.0007427758
h_dpc_SI,0.00074270985
h_dpc_ND,0.00074189034
h_dpc_VA,0.0007418854
h_dpc_ML,0.0007414673
h_dpc_MY,0.0007412977
h_dpc_AT,0.0007392711
h_dpc_NQ,0.0007389067
h_dpc_IR,0.00073828467
h_dpc_NR,0.0007364221
h_dpc_HH,0.0007363493
h_dpc_EV,0.00073541363
h_dpc_SK,0.0007349132
v_dpc_DK,0.0007344409
h_dpc_QH,0.0007330987
h_dpc_RC,0.0007323563
h_dpc_IT,0.0007321153
h_dpc_HT,0.0007317844
h_dpc_FI,0.00073166535
h_dpc_DF,0.00073128135
h_dpc_LC,0.0007307057
h_dpc_DG,0.000730595
h_dpc_QR,0.0007299772
h_dpc_NV,0.0007298573
h_dpc_TS,0.0007296938
h_dpc_TV,0.00072930777
h_dpc_IH,0.0007292247
h_dpc_TE,0.00072921725
h_dpc_CG,0.00072891236
h_dpc_VR,0.00072870514
h_dpc_CL,0.0007265153
v_dpc_GM,0.0007259629
h_dpc_VI,0.00072594406
h_dpc_AG,0.000725778
h_dpc_VC,0.00072566007
h_dpc_YM,0.0007255117
h_dpc_CE,0.00072533905
h_dpc_GP,0.00072477484
h_dpc_GV,0.0007247582
h_dpc_EP,0.00072328857
h_dpc_DD,0.00072300516
h_dpc_CC,0.00072185765
h_dpc_PR,0.0007216418
h_dpc_AD,0.0007212601
h_dpc_YH,0.00072124175
h_dpc_MI,0.0007210494
h_dpc_FS,0.0007208433
h_dpc_PS,0.000720617
h_dpc_YQ,0.0007193668
h_dpc_FN,0.00071918854
h_dpc_QQ,0.000719032
h_dpc_YT,0.00071883213
h_dpc_RT,0.0007181961
h_dpc_SR,0.0007180524
h_dpc_GT,0.0007179849
h_dpc_CT,0.0007175163
h_dpc_FH,0.00071659207
h_dpc_TD,0.0007163419
h_dpc_EY,0.0007156161
v_dpc_DA,0.0007156112
h_dpc_KY,0.0007151851
h_dpc_LA,0.00071517134
v_dpc_MK,0.0007151151
h_dpc_GQ,0.0007139474
h_dpc_VH,0.0007127166
h_dpc_IP,0.0007124462
h_dpc_RQ,0.00071216375
h_dpc_TW,0.0007119109
h_dpc_EC,0.00071162044
h_dpc_WN,0.0007085219
h_dpc_DT,0.0007077292
h_aac_F,0.0007077165
h_dpc_FW,0.00070690666
h_dpc_EL,0.00070686836
h_dpc_KI,0.0007066101
h_dpc_KQ,0.00070612633
h_dpc_LY,0.0007058709
v_dpc_SA,0.00070511905
h_dpc_YN,0.0007048946
h_dpc_VY,0.0007041248
h_dpc_MA,0.00070339063
h_dpc_DE,0.0007019682
h_dpc_MG,0.00070142566
h_dpc_HM,0.0007011627
h_dpc_ER,0.0007003948
h_dpc_FY,0.0007002309
h_dpc_YC,0.00070009305
h_dpc_VQ,0.00070007215
h_dpc_NC,0.0007000552
h_aac_R,0.00069967104
h_dpc_IE,0.0006995427
h_dpc_DC,0.000699505
h_dpc_EN,0.0006990423
h_dpc_AW,0.00069902797
h_dpc_MQ,0.00069756387
h_dpc_MV,0.00069723174
h_dpc_DI,0.0006970036
h_dpc_EM,0.0006955978
h_dpc_DP,0.00069535075
h_dpc_HR,0.00069523975
h_dpc_NA,0.00069471647
h_dpc_LN,0.0006943162
h_dpc_NL,0.000694129
h_dpc_AN,0.0006938726
h_dpc_SY,0.00069376035
v_dpc_QK,0.00069367874
h_dpc_LM,0.0006936412
h_dpc_GE,0.0006931985
h_dpc_QF,0.0006928714
h_dpc_WS,0.00069266296
h_dpc_AY,0.00069229765
h_dpc_RR,0.0006919331
h_dpc_VS,0.0006912382
h_dpc_NI,0.00069122034
h_dpc_CA,0.00069113076
v_dpc_GG,0.0006903369
h_dpc_GF,0.0006897119
h_dpc_YE,0.00068913173
v_dpc_KA,0.00068871345
h_dpc_TH,0.000688505
h_dpc_RN,0.00068793196
v_dpc_AQ,0.00068780634
h_dpc_CH,0.00068657077
h_aac_T,0.0006864542
h_dpc_SF,0.00068608345
h_dpc_MH,0.0006852982
h_dpc_YL,0.0006851415
h_dpc_KM,0.00068501674
v_dpc_HA,0.0006849575
h_dpc_GS,0.0006845177
h_dpc_QE,0.000684171
h_dpc_SH,0.0006841322
h_dpc_EF,0.00068403775
h_dpc_EI,0.00068395986
h_dpc_WV,0.00068322464
h_dpc_CK,0.00068246614
h_aac_D,0.00068237365
h_dpc_KA,0.00068151584
h_dpc_RV,0.00068145536
h_dpc_LG,0.00068121444
h_dpc_NT,0.00068045716
h_dpc_GA,0.0006803545
h_dpc_QT,0.0006800549
h_dpc_PH,0.00067995023
h_dpc_DN,0.0006796604
h_dpc_TF,0.0006790612
h_dpc_HV,0.0006790376
h_dpc_PF,0.0006787075
h_dpc_ED,0.00067847804
h_dpc_SA,0.00067739456
h_dpc_PP,0.00067701616
h_dpc_KS,0.0006769303
v_aac_E,0.0006755228
h_dpc_PY,0.00067486486
h_dpc_FR,0.0006747341
h_dpc_MR,0.0006743666
h_dpc_DK,0.00067426445
h_dpc_PI,0.0006740578
h_dpc_WK,0.00067328295
h_dpc_CR,0.000673263
h_dpc_QI,0.00067317975
h_dpc_GH,0.0006719539
h_dpc_QY,0.00067140075
h_dpc_PA,0.0006704336
h_dpc_TG,0.0006696909
h_dpc_NS,0.0006695892
h_dpc_LD,0.0006683272
h_dpc_NF,0.00066810014
h_dpc_PC,0.00066763046
h_dpc_PT,0.00066745287
v_dpc_HD,0.0006674485
h_dpc_EA,0.0006672103
h_dpc_ES,0.0006656809
h_dpc_VP,0.0006653658
h_dpc_QP,0.00066503795
h_dpc_QG,0.0006649844
h_dpc_FD,0.00066481123
h_dpc_HF,0.00066478574
h_dpc_GL,0.00066464127
h_dpc_RD,0.00066460454
h_dpc_RE,0.0006644736
v_dpc_GK,0.00066272577
h_dpc_MM,0.00066221826
h_dpc_IS,0.0006619337
h_dpc_TA,0.0006601699
h_dpc_DA,0.0006593902
h_dpc_QV,0.00065917836
v_dpc_VQ,0.0006588125
h_dpc_HG,0.00065841444
h_dpc_RP,0.00065725285
h_dpc_YS,0.00065687
h_dpc_TL,0.0006557835
h_dpc_VL,0.00065518863
v_dpc_TN,0.0006546877
h_dpc_EG,0.00065433385
h_aac_N,0.0006535629
h_dpc_ID,0.000653013
h_aac_A,0.00065245514
h_dpc_PN,0.00065232924
h_aac_M,0.00065167237
h_dpc_VN,0.0006515312
h_dpc_DH,0.00065134367
h_dpc_RL,0.00065133494
h_dpc_IC,0.0006511569
h_dpc_ET,0.00065086794
v_dpc_RA,0.000650418
h_dpc_FK,0.0006496798
h_dpc_AI,0.0006496553
v_dpc_HQ,0.0006492216
h_dpc_IN,0.00064908946
h_dpc_GI,0.0006449522
h_dpc_AP,0.0006443325
v_dpc_VA,0.000644238
h_dpc_PK,0.00064418494
h_dpc_DS,0.00064313965
h_dpc_HI,0.00064279913
h_dpc_PQ,0.0006426782
v_dpc_IH,0.00064186327
h_dpc_TQ,0.0006417812
h_dpc_PD,0.0006416515
h_dpc_HN,0.0006402712
h_dpc_SN,0.0006395742
h_dpc_TI,0.0006390648
h_dpc_TN,0.00063881354
h_dpc_QD,0.0006387568
v_dpc_AV,0.0006385588
v_dpc_FK,0.00063782703
h_dpc_LS,0.00063632993
h_dpc_KT,0.0006361088
h_dpc_CM,0.00063598074
h_dpc_NH,0.00063479436
h_dpc_AR,0.0006333296
h_aac_I,0.00063198956
h_dpc_LI,0.00063134806
h_dpc_SD,0.0006303198
h_dpc_TR,0.0006295238
h_aac_E,0.00062518363
h_dpc_YV,0.00062373985
h_dpc_AM,0.0006229438
h_dpc_WH,0.00062281615
h_dpc_HW,0.00062260363
h_dpc_EQ,0.00062254816
h_dpc_SG,0.00062138407
h_dpc_CW,0.00062030146
h_dpc_PM,0.00062002765
h_dpc_NY,0.0006198123
v_dpc_QH,0.00061951403
h_dpc_RS,0.00061879255
h_dpc_FE,0.00061864714
h_dpc_AL,0.0006179205
h_dpc_YA,0.0006172488
h_dpc_HY,0.0006170752
h_dpc_GM,0.0006169029
h_dpc_DV,0.0006159733
v_aac_R,0.0006142277
v_dpc_PY,0.00061213196
h_dpc_IK,0.0006117638
h_dpc_DL,0.00061160885
h_dpc_LT,0.0006112234
h_dpc_AF,0.0006102419
h_dpc_CF,0.00061008916
h_dpc_RI,0.0006098485
h_dpc_RM,0.000609004
h_dpc_QK,0.0006083674
h_dpc_QS,0.00060805585
h_dpc_WP,0.00060793565
h_dpc_MT,0.0006061583
h_dpc_AS,0.000605814
h_dpc_EK,0.0006028849
v_dpc_TS,0.0006020336
v_dpc_RT,0.00060192845
v_dpc_PK,0.000600553
h_dpc_MC,0.00059973146
h_dpc_TP,0.0005996838
v_dpc_TP,0.0005964768
v_dpc_ED,0.00059348333
v_dpc_QS,0.00059348176
h_dpc_PV,0.0005895797
v_dpc_NF,0.00058909605
v_dpc_KT,0.0005885969
h_dpc_IQ,0.00058712595
v_dpc_TL,0.000586642
v_dpc_SR,0.00058644835
h_dpc_CD,0.00058494817
v_aac_D,0.0005844262
v_dpc_LD,0.00058262795
v_dpc_EK,0.00058232015
v_dpc_IS,0.0005812778
v_dpc_SV,0.00057614135
v_dpc_QF,0.00057375926
v_dpc_HP,0.0005710995
v_dpc_SK,0.00057060085
h_dpc_RW,0.00057025725
h_dpc_AQ,0.0005657822
v_dpc_DL,0.000565682
v_dpc_HF,0.00056491746
h_dpc_CI,0.0005631995
v_dpc_LP,0.0005629696
v_dpc_SC,0.00056197663
h_dpc_HQ,0.0005589987
v_dpc_GI,0.0005584528
v_dpc_GW,0.0005569905
v_dpc_DP,0.0005525462
v_dpc_VY,0.0005490181
v_dpc_ML,0.00054853613
v_dpc_RC,0.00054801384
v_dpc_AE,0.00054786017
h_dpc_HA,0.00054677157
v_dpc_YC,0.0005436911
v_dpc_TE,0.00054351025
v_dpc_RD,0.00054286886
h_dpc_AH,0.0005428004
v_dpc_TF,0.0005411427
v_dpc_EA,0.0005403077
v_dpc_TR,0.00053740974
v_dpc_DD,0.0005372167
v_dpc_MD,0.0005365764
v_dpc_RW,0.00053631613
h_dpc_AC,0.0005356774
v_dpc_EG,0.0005354072
v_dpc_ME,0.0005327294
v_dpc_RK,0.0005324639
v_dpc_QP,0.0005318898
v_dpc_LS,0.0005309777
v_dpc_MA,0.00052589946
v_dpc_NL,0.000524672
v_arom,0.0005243565
v_dpc_DQ,0.00052274246
v_aac_C,0.00052106386
v_dpc_LT,0.00052097975
v_dpc_YI,0.0005201499
v_dpc_QE,0.0005181511
v_dpc_AK,0.0005181133
v_dpc_CM,0.0005153928
v_dpc_KE,0.0005141092
v_dpc_QL,0.0005135196
v_dpc_PH,0.0005129853
v_dpc_IL,0.0005117528
v_dpc_GR,0.0005110793
v_dpc_VP,0.0005104353
v_dpc_AM,0.00051019894
v_dpc_GS,0.0005092328
v_dpc_AT,0.0005018204
v_dpc_IE,0.0004993586
v_dpc_PA,0.0004978213
v_dpc_TI,0.00049476296
v_dpc_QA,0.00049412367
v_dpc_RN,0.000493168
v_dpc_IN,0.0004917492
v_dpc_KV,0.00048925256
v_dpc_IK,0.00048877473
v_dpc_IT,0.00048635414
v_dpc_TA,0.000485785
v_dpc_KH,0.00048246543
v_dpc_NS,0.00048128745
v_dpc_IG,0.00047947353
v_dpc_ST,0.0004779101
v_aac_H,0.00047593718
v_dpc_EE,0.00047276157
v_dpc_PV,0.0004727408
v_dpc_DV,0.00047246582
v_dpc_CY,0.00047235066
v_dpc_EN,0.00047140298
v_dpc_GF,0.00046975884
v_dpc_RL,0.0004686014
v_dpc_PL,0.00046813962
v_dpc_TT,0.00046792903
v_dpc_TQ,0.00046664866
v_dpc_HH,0.00046619866
v_dpc_NY,0.0004646348
v_dpc_LY,0.00046435016
v_dpc_LG,0.00046362722
v_dpc_IQ,0.00046360822
v_dpc_RS,0.00046223143
v_dpc_TV,0.00046100272
v_dpc_IR,0.00046060645
v_dpc_NV,0.00046035275
v_dpc_NA,0.00046013793
v_dpc_YV,0.00045964445
v_dpc_FG,0.00045923275
v_dpc_PC,0.00045919753
v_dpc_WN,0.00045908554
v_aac_W,0.00045842573
v_dpc_YS,0.00045597935
v_dpc_EP,0.00045585333
v_dpc_CF,0.00045552416
v_dpc_EL,0.00045547166
v_dpc_KK,0.00045465428
v_dpc_PS,0.00045462776
v_dpc_LK,0.00045444485
v_dpc_LE,0.00045444357
v_dpc_LL,0.00045440902
v_dpc_LW,0.00045316483
v_dpc_EY,0.00045276937
v_dpc_RV,0.00045241346
v_dpc_MR,0.0004517956
v_dpc_SG,0.00045113475
v_dpc_DE,0.00045055297
v_dpc_CQ,0.00044999548
v_dpc_CS,0.00044839465
v_aac_P,0.00044838386
v_dpc_VF,0.00044731214
v_dpc_CT,0.00044681045
v_dpc_RP,0.00044614493
v_dpc_KW,0.0004457273
v_dpc_MN,0.00044426948
v_dpc_KS,0.00044387334
v_dpc_MC,0.0004432528
v_aac_Q,0.00044263492
v_dpc_KL,0.00044111052
v_dpc_IM,0.00043924406
v_dpc_VS,0.000438391
v_dpc_GY,0.00043818765
v_dpc_FV,0.00043647617
v_dpc_KF,0.00043566502
v_dpc_ES,0.00043557375
v_dpc_FI,0.00043501882
v_dpc_SI,0.00043255783
v_dpc_PI,0.00043214601
v_dpc_LR,0.0004321245
v_dpc_NK,0.0004299939
v_dpc_GA,0.00042943118
v_dpc_CE,0.0004273675
v_dpc_SE,0.00042712007
v_dpc_IY,0.00042649166
v_dpc_HV,0.000424989
v_dpc_LV,0.00042440582
v_dpc_VN,0.00042412535
v_dpc_KR,0.00042358876
v_dpc_GN,0.0004232718
v_dpc_VK,0.0004224263
v_dpc_CV,0.0004216207
v_dpc_IA,0.00042161907
v_dpc_KI,0.0004205485
v_aac_F,0.00041909242
v_dpc_RG,0.00041884687
v_dpc_AY,0.00041713144
v_dpc_FS,0.00041694727
v_dpc_GV,0.00041605617
v_dpc_CC,0.00041557697
v_dpc_II,0.0004150926
v_dpc_PD,0.00041444806
v_dpc_FY,0.00041294622
v_dpc_RQ,0.00041198387
v_dpc_FQ,0.00041100627
v_dpc_CG,0.00040929343
v_dpc_VT,0.00040758235
v_dpc_PG,0.00040621395
v_dpc_TG,0.00040388663
v_dpc_NC,0.00040373523
v_dpc_LN,0.00040255729
v_dpc_LC,0.00040217582
v_dpc_EI,0.00040127902
v_dpc_KY,0.00040088542
v_dpc_FT,0.0004008723
v_dpc_GE,0.00040082063
v_dpc_SQ,0.00039980683
v_dpc_HL,0.0003984977
v_dpc_YL,0.00039776912
v_dpc_EQ,0.00039659836
v_dpc_WF,0.0003963482
v_dpc_SF,0.00039460266
v_dpc_EV,0.00039236256
v_dpc_DC,0.00039215066
v_dpc_HS,0.00039209193
v_dpc_TC,0.00039203328
v_dpc_CR,0.00039120685
v_dpc_AD,0.00039073863
v_dpc_WL,0.00038980786
v_aac_K,0.00038934287
v_dpc_IV,0.0003884013
v_len,0.00038711334
v_dpc_DY,0.0003866912
v_dpc_KN,0.00038661683
v_dpc_GT,0.00038593638
v_dpc_ID,0.0003851285
v_dpc_FH,0.00038265035
v_dpc_AG,0.00038114688
v_dpc_TY,0.00038104568
v_dpc_CA,0.00038095593
v_dpc_FN,0.0003780744
v_dpc_MG,0.0003754608
v_dpc_DN,0.00037222268
v_dpc_AI,0.00037164113
v_aac_S,0.00037130245
v_dpc_DF,0.00037062317
v_dpc_CP,0.0003703806
v_dpc_PF,0.00037010552
v_dpc_MF,0.00036987007
v_dpc_FA,0.00036888916
v_dpc_AL,0.00036836817
v_dpc_SL,0.00036779654
v_dpc_FW,0.00036525
v_dpc_VR,0.00036366342
v_aac_Y,0.00036249924
v_dpc_HY,0.00036245186
v_dpc_AR,0.00036181032
v_dpc_CI,0.0003614925
v_dpc_SS,0.00036014055
v_dpc_DI,0.00035406076
v_aac_V,0.0003506423
v_dpc_DR,0.0003467216
v_dpc_DG,0.00034587417
v_dpc_CN,0.0003431104
v_dpc_AF,0.00034106907
v_dpc_AA,0.00033914234
v_dpc_KD,0.000338409
v_aac_I,0.00033651196
v_dpc_AS,0.00033629496
v_aac_T,0.00033531815
v_dpc_NR,0.000334458
v_dpc_MY,0.00033426064
v_dpc_NI,0.00033217442
v_mw,0.0003309259
v_dpc_PM,0.00032568688
v_dpc_KP,0.00032173702
v_dpc_EC,0.00032151106
v_aac_N,0.0003187892
v_dpc_AC,0.00031877658
v_dpc_CL,0.0003132203
v_dpc_TD,0.00031084655
v_dpc_EH,0.0003097474
v_dpc_DH,0.00030357824
v_dpc_CH,0.00029402532
v_dpc_GH,0.00028932077
v_dpc_LM,0.0002804447
v_dpc_FF,0.00027045098
v_dpc_MW,0.00025958027
v_dpc_HW,0.0002595748
v_dpc_SP,0.00025843314
v_dpc_HN,0.00025717626
v_dpc_AN,0.00024903961
v_dpc_GL,0.00024711541
v_dpc_CW,0.00023751917
v_dpc_IP,0.00023161649
v_dpc_WY,0.00020329675
v_dpc_SY,0.00016767163
v_hydro,0.00016518064
v_dpc_TM,0.0
v_dpc_ND,0.0
v_dpc_NE,0.0
v_dpc_NH,0.0
v_dpc_GQ,0.0
v_dpc_SM,0.0
v_dpc_SN,0.0
v_dpc_PE,0.0
v_dpc_HE,0.0
v_dpc_NW,0.0
v_dpc_NT,0.0
v_dpc_SH,0.0
v_dpc_FM,0.0
v_dpc_RY,0.0
v_dpc_SD,0.0
v_dpc_SW,0.0
v_dpc_PW,0.0
v_dpc_RI,0.0
v_dpc_QC,0.0
v_dpc_RR,0.0
v_dpc_NQ,0.0
v_dpc_QG,0.0
v_dpc_KC,0.0
v_dpc_KM,0.0
v_dpc_PR,0.0
v_dpc_PP,0.0
v_dpc_PN,0.0
v_dpc_PT,0.0
v_dpc_NM,0.0
v_dpc_NP,0.0
