viral_uniprot,n_test_samples,roc_auc,pr_auc
A0A663DJA2,5367,0.7687398056500487,0.5479736014889056
P0DTC1,4645,0.6744534562685907,0.13984612929007462
P0DTC2,7418,0.6261807571582252,0.7712610465907008
P0DTC3,6238,0.7451601446565556,0.739522286221721
P0DTC4,6093,0.8689737801390738,0.8356177927081814
P0DTC5,7294,0.8288844453596017,0.8732974534377473
P0DTC6,5846,0.8296556129610517,0.7755627221808461
P0DTC7,6132,0.8706268234598283,0.8493583251661079
P0DTC8,6256,0.7482350376469404,0.7059132645175613
P0DTC9,7412,0.7966700867490404,0.8001607450933756
P0DTD1,20246,0.734544254605998,0.9791845218909354
P0DTD2,5109,0.7078230716977986,0.3767261663724571
P0DTD3,4770,0.6528082055577675,0.2646291121453594
P0DTD8,6542,0.8380869153771509,0.8468175422640565
