feature,importance
h_instab,0.42558298
v_len,0.23937628
v_instab,0.09234192
v_mw,0.03489372
v_gravy,0.029447036
v_dpc_VA,0.028572874
v_aac_F,0.021813147
v_dpc_DK,0.01596339
h_mw,0.01374024
h_gravy,0.011476234
v_aac_A,0.010525714
v_dpc_GT,0.009203331
v_aac_E,0.007864105
h_len,0.0055184043
v_aac_G,0.004415391
h_dpc_RQ,0.003075102
h_dpc_IR,0.0028971182
v_aac_C,0.002268512
h_aac_C,0.0020703739
h_aac_N,0.0016448859
h_dpc_NE,0.0015891574
h_aac_T,0.001587635
h_dpc_SY,0.0013982806
v_dpc_AH,0.0013218652
h_dpc_YF,0.0011786706
h_aac_G,0.0011314633
h_dpc_ST,0.001105423
h_aac_A,0.00097248564
h_dpc_LA,0.00094685354
h_dpc_MR,0.0009269168
v_dpc_CG,0.0009069409
h_dpc_NI,0.0008843939
h_dpc_AP,0.0007918572
h_dpc_FM,0.0007607897
h_dpc_EP,0.0007198157
h_aac_L,0.0007182739
h_dpc_SR,0.0006964277
h_aac_R,0.0006756831
h_dpc_KR,0.00067418104
h_aac_M,0.00065331464
h_dpc_MC,0.0005726912
v_dpc_AW,0.0005672341
h_dpc_AR,0.000554479
h_dpc_GT,0.00054522447
h_dpc_RS,0.0005347581
h_dpc_QF,0.0005237204
h_dpc_QV,0.00051279675
h_dpc_GC,0.0005019
h_dpc_RI,0.00048222815
h_dpc_CP,0.00047678401
v_dpc_KG,0.0004657485
h_dpc_WP,0.00045436274
v_dpc_DR,0.000451819
h_dpc_QL,0.00045036068
h_dpc_WQ,0.00039972828
h_dpc_DF,0.00039910863
h_dpc_EQ,0.00036848217
h_aac_I,0.00036380615
h_dpc_PF,0.0003575232
v_dpc_CV,0.00034994204
h_dpc_KV,0.0003340901
v_dpc_LK,0.0002964566
h_dpc_SG,0.000294628
h_dpc_EA,0.00029032625
h_dpc_YV,0.00028065595
h_dpc_EG,0.00027019775
h_dpc_RR,0.00027010153
h_dpc_CW,0.00025588527
v_dpc_WF,0.00025305734
h_aac_P,0.00024139213
h_dpc_SF,0.00023527816
h_dpc_TE,0.00023490535
h_aac_F,0.00022597951
h_dpc_AA,0.00022407186
h_dpc_NS,0.00018489064
v_aac_K,0.00017611272
h_dpc_RE,0.0001745783
v_aac_R,0.00016526418
h_dpc_QS,0.00015168432
v_dpc_NE,0.00014183397
h_dpc_LK,0.00013862317
h_dpc_CY,0.00013397244
v_dpc_FG,0.00013106056
h_dpc_TT,0.00012965393
h_dpc_SM,0.00012958351
h_dpc_CC,0.00012662531
v_aac_M,0.0001225166
v_aac_H,0.00011915459
v_dpc_PG,0.0001086389
h_dpc_PV,0.00010755871
v_dpc_CH,0.00010330556
v_dpc_EV,0.00010093072
v_aac_P,9.928235e-05
h_aac_E,9.808556e-05
v_dpc_NL,9.420635e-05
v_dpc_AQ,9.049171e-05
v_dpc_GR,8.816117e-05
v_aac_D,8.16269e-05
h_aac_D,7.70563e-05
h_aac_S,7.315524e-05
h_dpc_GF,7.268219e-05
v_dpc_DS,7.248966e-05
h_aac_V,7.238973e-05
h_dpc_PG,6.9635054e-05
v_dpc_GD,6.3958585e-05
h_dpc_DK,6.3595944e-05
h_dpc_VR,6.279333e-05
v_dpc_KR,6.246681e-05
h_dpc_AS,6.0082795e-05
h_dpc_DE,5.9407972e-05
v_dpc_ES,5.21587e-05
h_dpc_CT,5.215003e-05
v_dpc_AP,5.061359e-05
h_dpc_AE,5.006236e-05
v_dpc_QV,4.9154543e-05
v_dpc_AE,4.4376135e-05
h_dpc_DP,4.320498e-05
h_aac_H,4.320079e-05
h_dpc_SP,4.1850177e-05
v_dpc_FL,3.8377122e-05
h_dpc_VL,3.718758e-05
h_dpc_MA,2.9166113e-05
h_dpc_AT,2.7815202e-05
h_dpc_LV,2.7115715e-05
h_dpc_LT,2.7095872e-05
v_dpc_II,2.6471891e-05
h_aac_K,2.4047835e-05
v_dpc_DG,2.2289212e-05
v_dpc_ME,1.9849253e-05
v_arom,1.7370787e-05
v_dpc_LQ,1.717591e-05
v_aac_S,1.6128253e-05
h_aac_Q,1.4969813e-05
h_dpc_VG,1.398665e-05
v_dpc_KS,1.1754878e-05
h_dpc_SL,1.00276575e-05
h_dpc_PM,8.874634e-06
h_dpc_NW,4.243762e-06
v_aac_N,7.536361e-07
v_dpc_FI,0.0
v_dpc_FK,0.0
v_dpc_FM,0.0
v_dpc_FN,0.0
v_dpc_FP,0.0
v_dpc_FQ,0.0
v_dpc_FR,0.0
v_dpc_FS,0.0
v_dpc_FT,0.0
v_dpc_FV,0.0
v_dpc_FW,0.0
v_dpc_FY,0.0
v_dpc_GA,0.0
v_dpc_GC,0.0
v_dpc_GE,0.0
v_dpc_GF,0.0
v_dpc_GG,0.0
v_dpc_GH,0.0
v_dpc_GI,0.0
v_dpc_GK,0.0
v_dpc_GL,0.0
v_dpc_GM,0.0
v_dpc_GN,0.0
v_dpc_GP,0.0
v_dpc_GQ,0.0
v_dpc_GS,0.0
v_dpc_GV,0.0
v_dpc_GW,0.0
v_dpc_GY,0.0
v_dpc_HA,0.0
v_dpc_HC,0.0
v_dpc_HD,0.0
v_dpc_HE,0.0
v_dpc_HF,0.0
v_dpc_HG,0.0
v_dpc_HH,0.0
v_dpc_HI,0.0
v_dpc_HK,0.0
v_dpc_HL,0.0
v_dpc_HM,0.0
v_dpc_HN,0.0
v_dpc_HP,0.0
v_dpc_HQ,0.0
v_dpc_HR,0.0
v_dpc_HS,0.0
v_dpc_HT,0.0
v_dpc_HV,0.0
v_dpc_HW,0.0
v_dpc_HY,0.0
v_dpc_IA,0.0
v_dpc_IC,0.0
v_dpc_ID,0.0
v_dpc_IE,0.0
v_dpc_IF,0.0
v_dpc_IG,0.0
v_dpc_IH,0.0
v_dpc_IK,0.0
v_dpc_IL,0.0
v_dpc_IM,0.0
v_dpc_IN,0.0
v_dpc_IP,0.0
v_dpc_IQ,0.0
v_dpc_IR,0.0
v_dpc_IS,0.0
v_dpc_IT,0.0
v_dpc_IV,0.0
v_dpc_IW,0.0
v_dpc_IY,0.0
v_dpc_KA,0.0
v_dpc_KC,0.0
v_dpc_KD,0.0
v_dpc_KE,0.0
v_dpc_KF,0.0
v_dpc_KH,0.0
v_dpc_KI,0.0
v_dpc_KK,0.0
v_dpc_KL,0.0
v_dpc_KM,0.0
v_dpc_KN,0.0
v_dpc_KP,0.0
v_dpc_KQ,0.0
v_dpc_KT,0.0
v_dpc_KV,0.0
v_dpc_KW,0.0
v_dpc_KY,0.0
v_dpc_LA,0.0
v_dpc_LC,0.0
v_dpc_LD,0.0
v_dpc_LE,0.0
v_dpc_LF,0.0
v_dpc_LG,0.0
v_dpc_LH,0.0
v_dpc_LI,0.0
v_dpc_LL,0.0
v_dpc_LM,0.0
v_dpc_LN,0.0
v_dpc_LP,0.0
v_dpc_LR,0.0
v_dpc_LS,0.0
v_dpc_LT,0.0
v_dpc_LV,0.0
v_dpc_LW,0.0
v_dpc_LY,0.0
v_dpc_MA,0.0
v_dpc_MC,0.0
v_dpc_MD,0.0
v_dpc_MF,0.0
v_dpc_MG,0.0
v_dpc_MH,0.0
v_dpc_MI,0.0
v_dpc_MK,0.0
v_dpc_ML,0.0
v_dpc_MM,0.0
v_dpc_MN,0.0
v_dpc_MP,0.0
v_dpc_MQ,0.0
v_dpc_MR,0.0
v_dpc_MS,0.0
